0.005,141.6
0.01,114.9
0.015,96.9
0.02,96.9
0.025,99.9
0.03,95.4
0.035,95.9
0.04,93.1
0.045,87.9
0.05,85.8
0.055,83.6
0.06,83.8
0.065,81.6
0.07,86.9
0.075,86.9
0.08,81.0
0.085,82.8
0.09,82.3
0.095,83.4
0.1,86.4
0.105,85.6
0.11,84.8
0.115,99.2
0.12,102.6
0.125,100.4
0.13,103.9
0.135,175.7
0.14,120.7
0.145,118.6
0.15,98.2
0.155,107.0
0.16,100.3
0.165,105.3
0.17,101.9
0.175,98.8
0.18,94.1
0.185,93.0
0.19,91.4
0.195,90.2
0.2,90.2
0.205,90.1
0.21,88.2
0.215,89.1
0.22,90.8
0.225,91.2
0.23,89.8
0.235,91.1
0.24,91.6
0.245,91.2
0.25,91.4
