Thread Size = 2,
5000,974
10000,825
15000,772
20000,672
25000,668
30000,657
35000,673
40000,667
45000,647
50000,639
,
Thread  Size = 4,
5000,831
10000,719
15000,707
20000,646
25000,715
30000,692
35000,677
40000,646
45000,637
50000,635
,
Thread Size = 8,
5000,794
10000,723
15000,685
20000,688
25000,648
30000,654
35000,651
40000,644
45000,642
50000,635
,
Thread Size = 16,
5000,1289
10000,1125
15000,1112
20000,1044
25000,993
30000,1010
35000,958
40000,936
45000,1000
50000,1005
,
Thread Size = 32,
5000,3863
10000,1741
15000,1663
20000,1444
25000,1479
30000,1468
35000,934
40000,995
45000,897
50000,944
,
Thread Size = 64,
5000,16086
10000,2500
15000,2567
20000,1311
25000,1273
30000,1371
35000,600
40000,592
45000,639
50000,582
