Thread Size = 2,
cut off,time
5000,740
10000,494
15000,436
20000,365
25000,374
30000,392
35000,355
40000,376
45000,347
50000,353
,
Thread  Size = 4,
5000,421
10000,341
15000,370
20000,345
25000,333
30000,327
35000,323
40000,331
45000,364
50000,307
,
Thread Size = 8,
5000,390
10000,330
15000,315
20000,297
25000,289
30000,300
35000,289
40000,339
45000,354
50000,297
,
Thread Size = 16,
5000,930
10000,648
15000,633
20000,530
25000,575
30000,561
35000,369
40000,378
45000,352
50000,313
,
Thread Size = 32,
5000,3365
10000,1056
15000,1032
20000,579
25000,663
30000,639
35000,242
40000,218
45000,222
50000,251
,
Thread Size = 64,
5000,14563
10000,1120
15000,1208
20000,325
25000,269
30000,343
35000,217
40000,199
45000,201
50000,199
